,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
0,The Wild Robot,2024,87,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,Chris Sanders,"Animation, Science Fiction, Family","$196,822,000.00",1h 42m,"$78,000,000.00",English,36,44,182
1,Alien: Romulus,2024,73,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Fede Álvarez,N/A,"Science Fiction, Horror","$348,521,150.00",1h 59m,"$80,000,000.00",English,52,135,327
2,The Substance,2024,73,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,N/A,"Horror, Drama, Science Fiction","$29,106,531.00",2h 21m,"$17,500,000.00",English,9,94,206
3,Deadpool & Wolverine,2024,77,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Shawn Levy,N/A,"Action, Comedy, Science Fiction","$1,334,640,330.00",2h 8m,"$200,000,000.00",English,48,143,397
4,Azrael,2024,61,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",E.L. Katz,N/A,"Action, Horror, Thriller",-,1h 26m,"$12,000,000.00",English,3,11,17
5,Beetlejuice Beetlejuice,2024,72,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Tim Burton,Alfred Gough,"Comedy, Fantasy, Horror","$434,090,643.00",1h 45m,"$100,000,000.00",English,20,55,225
6,The Platform 2,2024,57,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",Galder Gaztelu-Urrutia,Galder Gaztelu-Urrutia,"Science Fiction, Thriller, Drama",-,1h 40m,-,Spanish; Castilian,3,24,51
7,Despicable Me 4,2024,71,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",Chris Renaud,N/A,"Animation, Family, Comedy, Action","$953,140,610.00",1h 34m,"$100,000,000.00",English,29,66,222
8,Inside Out 2,2024,76,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Kelsey Mann,Meg LeFauve,"Animation, Family, Adventure, Comedy, Drama","$1,682,636,477.00",1h 37m,"$200,000,000.00",English,33,96,495
9,Terrifier 3,2024,70,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",Damien Leone,N/A,"Horror, Thriller","$41,267,606.00",2h 5m,"$2,000,000.00",English,8,37,100
10,Hellboy: The Crooked Man,2024,50,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",Brian Taylor,Brian Taylor,"Fantasy, Horror, Action","$1,289,658.00",1h 40m,-,English,3,32,53
11,Never Let Go,2024,61,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",Alexandre Aja,N/A,"Horror, Drama","$13,111,608.00",1h 41m,"$20,000,000.00",English,6,9,41
12,Project Silence,2024,71,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",Kim Tae-gon,N/A,"Action, Thriller, Horror, Science Fiction",-,1h 36m,"$14,750,000.00",Korean,2,24,34
13,Transmorphers: Mech Beasts,2023,53,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",Michael Su,N/A,"Action, Science Fiction","$65,452.00",1h 24m,-,English,1,3,3
14,Smile 2,2024,71,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",Parker Finn,N/A,"Horror, Mystery","$46,000,000.00",2h 7m,"$28,000,000.00",English,24,25,82
15,Venom: The Last Dance,2024,74,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,Kelly Marcel,"Action, Science Fiction, Adventure",-,1h 49m,"$110,000,000.00",English,16,35,82
16,Joker: Folie à Deux,2024,58,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,N/A,"Drama, Crime, Thriller","$164,959,127.00",2h 18m,"$195,000,000.00",English,31,70,219
